UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
76f58970-68ac-4b39-bbbe-ecd3d11cd059,Book 1,Egypt,char-offset:76891,PLACE,http://pleiades.stoa.org/places/981503,19.211408766666665,30.567329633333333,region,VERIFIED,,,,
0c411ced-5823-4787-b2bf-55646ab9ec38,Book 3,Iberia,char-offset:80392,PLACE,http://pleiades.stoa.org/places/992072,37.5,-7.5,province,VERIFIED,,,,
43ccf4d9-4d81-4ccc-8dfc-086274456447,Book 15,Bactriana,char-offset:109457,PLACE,http://pleiades.stoa.org/places/329195,,,unlocated,UNVERIFIED,,,,
e5f81b28-fde4-42ed-b510-2f3c0b684d6e,Book 6,Medma,char-offset:12372,PLACE,http://pleiades.stoa.org/places/452375,38.4821,15.98817,settlement,VERIFIED,,,,
7a4e3d14-ad63-43e2-bf81-ec2befb297f0,Book 6,Alpheus,char-offset:29142,PLACE,http://pleiades.stoa.org/places/570067,37.6125,21.451667,river,VERIFIED,,,,
e44f07eb-066e-40aa-b9f1-95d1f9b5671c,Book 5,Cumæ,char-offset:95782,PLACE,http://pleiades.stoa.org/places/432808,38.75953,26.936283,"temple-2,port,sanctuary,tunnel,aqueduct,settlement,cistern",VERIFIED,,,,
26f2e026-912b-4dd9-8d6d-4e891bb5cc78,Book 5,Aquileia,char-offset:12731,PLACE,http://pleiades.stoa.org/places/187290,45.769631,13.370946,"church,settlement",VERIFIED,,,,
54dc1f57-8c1c-4988-b805-4ca3afd1d395,Book 1,Capreæ,char-offset:157925,PLACE,http://pleiades.stoa.org/places/432751,40.549303,14.243534,"island,villa,settlement",VERIFIED,,,,
70ded1d2-4ac3-472e-9a5d-7f311bde10dd,Book 4,Aude,char-offset:81486,PLACE,http://pleiades.stoa.org/places/246199,43.2131,3.24,river,VERIFIED,,,,
c4f11521-8fc5-4a77-ac11-4e460cb337a1,Book 13,Sigeium,char-offset:37432,PLACE,,,,,UNVERIFIED,,,,
25d2539e-d0d9-4d42-8414-2342390fff4a,Book 8,Coryphasium,char-offset:72338,PLACE,,,,,UNVERIFIED,,,,
fe0da210-6d37-4ac4-a933-d29ef86fee8d,Book 8,Greece,char-offset:5619,PLACE,http://sws.geonames.org/4800037,,,,UNVERIFIED,,,,
1a123666-848d-4e30-bfd4-259a1ecea21a,Book 6,Ætna,char-offset:46053,PLACE,http://pleiades.stoa.org/places/462077,37.751113,14.9958286,mountain,VERIFIED,,,,
f4389602-1b65-488c-8564-a830fa2a86bc,Book 8,Phocæenses,char-offset:2053,PLACE,,,,,UNVERIFIED,,,,
841070b6-caea-4382-964b-dc5d113ad984,Book 6,Celia,char-offset:73999,PLACE,http://pleiades.stoa.org/places/442516,40.646287,17.514427,settlement,VERIFIED,,,,
59212b6c-f34d-4ccc-bb6a-9f50e7c61a39,Book 6,Hyela,char-offset:1117,PLACE,http://pleiades.stoa.org/places/452488,40.160423,15.15732,settlement,VERIFIED,,,,
0875f7f8-4d0d-4ab2-9b14-573c303381e9,Book 1,Ceraunian,char-offset:51234,PLACE,http://pleiades.stoa.org/places/481785,40.198056,19.638889,mountain,VERIFIED,,,,
b78eb1cd-f5bc-4899-b4f9-dba2a9096fea,Book 5,Pelasgi,char-offset:30549,PLACE,,,,,NOT_IDENTIFIABLE,,,,
de21386d-3d20-4303-9de8-344937a2a0e8,Book 5,Samnitæ,char-offset:58232,PLACE,http://pleiades.stoa.org/places/442765,41.25,14.75,people,VERIFIED,,,,
73221e39-15fc-4f94-b119-1097c2bca858,Book 1,Phoenicia,char-offset:97868,PLACE,http://pleiades.stoa.org/places/678334,33.25,35.25,region,VERIFIED,,,,
08592248-c4f9-43aa-bc62-9939b1446666,Book 13,Thrace,char-offset:3410,PLACE,http://pleiades.stoa.org/places/759680,,,unlocated,UNVERIFIED,,,,
39da9955-d217-444a-818f-203c540663f6,Book 2,Amisus,char-offset:158801,PLACE,http://pleiades.stoa.org/places/857024,41.292782,36.33128,settlement,VERIFIED,,,,
6ca6aac9-88ea-40fb-b863-bbd7ce16fa31,Book 8,Mantineia,char-offset:13159,PLACE,http://www.imperium.ahlfeldt.se/places/24208,,,,UNVERIFIED,,,,
1e2459fd-6260-49b1-91ce-9a4878437210,Book 15,India,char-offset:507,PLACE,http://sws.geonames.org/146588,,,,UNVERIFIED,,,,
